Number;Sentence;Template;Keywords;A_F1_Lists;AV_F1_Lists;AudioScreening_F1;Linguistics_F1;Video;Audio;Linguistics;Video;;;;;;;Slope;Offset;Naturalness;Discomfort
1;Der er mange drenge der deltager i konkurrencer;;drenge, deltager, konkurrencer;;;;;;;;;;;;;;;;;;
2;Hun var berømt fordi hun samarbejdede med præsidenten;;berømt, samarbejdede, præsidenten;;;;;;;;;;;;;;;;;;
3;Vores butik medvirkede i en kampagne sidste forår;;butik, medvirkede, forår;;;;;;;;;;;;;;;;;;
4;Bossen understøtter hvordan de vander planterne;;bossen, vander, planterne;;;;;;;;;;;;;;;;;;
5;Det var enestående at initiativet førte til handling;;enestående, initiativet, handling;;;;;;;;;;;;;;;;;;
6;I maj meldte min søn sig ind i en fagforening;;maj, søn, fagforening;;;;;;;;;;;;;;;;;;
7;Hun vil naturligvis gerne flytte billederne til et galleri;;flytte, billederne, galleri;;;;;;;;;;;;;;;;;;
8;Vi mener bestemt at de igen har skærpet tonen;;mener, skærpet, tonen;;;;;;;;;;;;;;;;;;
9;Det er en institution som forener mange borgere;;institution, forener, borgere;;;;;;;;;;;;;;;;;;
10;Han undrede sig over deres fantasi og deres mod;;undrede, fantasi, mod;;;;;;;;;;;;;;;;;;
11;Der var et marked der lå på det grønne område;;marked, lå, område;;;;;;;;;;;;;;;;;;
12;Det er dejligt hvis fonden gerne vil støtte byggeriet;;dejligt, fonden, byggeriet;;;;;;;;;;;;;;;;;;
13;Deres skarpe reaktion tog fokus væk fra turneringen;;reaktion, tog, turneringen;;;;;;;;;;;;;;;;;;
14;De gættede på hvem der først ville hoppe ned fra scenen;;gættede, hoppe, scenen;;;;;;;;;;;;;;;;;;
15;Det er naturligt at ægteskabet former vores tilværelse;;naturligt, former, tilværelse;;;;;;;;;;;;;;;;;;
16;For tiden fotograferer hun mest sygeplejersker;;tiden, fotograferer, sygeplejersker;;;;;;;;;;;;;;;;;;
17;En revisor havde netop oprettet den for et ægtepar;;revisor, oprettet, ægtepar;;;;;;;;;;;;;;;;;;
18;Det beviste at man kan dele alle lige tal med to;;beviste, dele, tal;;;;;;;;;;;;;;;;;;
